Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
21993,2844,458,95,19,9999,0,1500,0,4007,6367,3,3,1478,490,2000,1,0,36,72,56,0,38,8,0,0,1391,1584,31754,957,0,20,36,27,33,16,9,5,20,26,87,0,0,12737,573,0,399,44,443,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
22993,2844,458,95,19,9999,0,1385,0,4007,5549,3,3,1478,490,2000,1,0,36,72,56,0,6,45,0,0,1391,1584,65535,879,0,9,40,23,31,39,9,4,0,5,99,0,0,12737,573,0,399,44,443,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
23993,2844,458,95,19,9999,0,1317,0,4007,5277,3,3,1478,490,2000,1,0,20,72,55,7,0,72,0,0,1391,1584,65535,946,0,5,26,45,39,31,5,0,4,5,99,0,0,12737,573,0,399,44,443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
24993,2844,458,95,19,9999,0,1299,0,4007,5205,3,3,1478,490,2000,1,0,8,72,15,0,0,72,0,0,1391,1584,65535,898,0,4,36,35,45,22,0,0,4,14,99,0,0,12737,573,0,399,44,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
25993,2844,458,95,19,9999,0,1314,0,4007,5265,3,3,1478,490,2000,1,0,8,72,14,0,0,72,0,0,1391,1584,2156,1087,322,9,54,42,40,36,4,4,9,18,99,0,0,12737,573,0,399,44,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,96
26993,2844,458,95,19,9999,0,1297,0,4007,5197,3,3,1478,490,2000,1,0,8,72,30,3,0,72,0,0,1391,1584,1109,877,0,5,17,23,36,22,5,0,0,19,99,0,0,12737,573,0,399,44,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
27994,2844,458,95,19,9999,0,1270,0,4007,5088,3,3,1478,490,2000,1,0,8,72,42,2,0,72,0,0,1391,1584,28459,1156,347,13,56,55,47,51,13,9,4,22,99,0,0,12737,573,0,399,44,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,96
28994,2844,458,95,19,9999,0,1430,0,4007,5730,3,3,1478,490,2000,1,0,10,72,52,0,21,61,0,0,1391,1584,6012,909,0,22,45,43,41,39,10,14,22,5,82,0,0,12737,573,0,399,44,443,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
29994,2844,458,95,19,9999,0,1425,0,4007,5709,3,3,1478,490,2000,1,0,56,72,60,0,72,0,0,0,1391,1584,10300,943,0,14,41,50,45,33,14,14,5,14,82,0,0,12737,573,0,399,44,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
30994,2844,458,95,19,9999,0,1491,0,4007,5974,3,3,1478,490,2000,1,0,56,72,47,0,17,0,0,0,1391,1584,10730,939,0,21,66,26,48,37,10,21,14,14,79,0,0,12737,573,0,399,44,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
