Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
21991,3211,426,100,28,9999,0,81,0,4369,353,3,3,1382,490,1353,0,0,72,72,30,0,0,0,0,0,1391,1584,5631,1302,139,80,63,55,50,52,42,47,80,5,52,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,96
22990,3211,426,100,28,9999,0,105,0,4366,458,3,3,1382,490,1353,0,0,72,72,31,0,0,0,0,0,1391,1584,4907,1283,129,86,73,52,50,52,33,50,86,14,47,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,96
23991,3211,426,100,28,9999,0,63,0,4366,275,3,3,1382,441,1353,0,0,72,72,31,0,0,0,0,0,1391,1584,4953,1111,71,75,71,80,70,69,44,60,75,0,46,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,96
24991,3211,426,100,28,9999,0,83,0,4366,362,3,3,1382,441,1353,0,0,72,72,31,0,0,0,0,0,1391,1584,4953,1111,71,75,71,80,70,69,44,60,75,0,46,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,96
25991,3211,426,100,28,9999,0,0,0,4366,0,3,3,1382,441,1353,0,0,72,72,31,0,0,0,0,0,1391,1584,4953,1111,71,75,71,80,70,69,44,60,75,0,46,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,96
26992,3211,426,100,28,9999,0,0,0,4366,0,3,3,1382,441,1353,0,0,72,72,31,0,0,0,0,0,1391,1584,4953,1111,71,75,71,80,70,69,44,60,75,0,46,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,96
27992,3211,426,100,28,9999,0,1,0,4378,4,3,3,1382,441,1353,0,0,72,72,30,0,0,0,0,0,1391,1584,4953,1111,71,75,71,80,70,69,44,60,75,0,46,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,96
28991,3211,426,100,28,9999,0,0,0,4378,0,3,3,1382,441,1353,0,0,72,72,31,0,0,0,0,0,1391,1584,4953,1111,71,75,71,80,70,69,44,60,75,0,46,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,96
29991,3211,426,100,28,9999,0,4,0,4378,17,3,3,1382,441,1555,0,0,72,72,31,0,0,0,0,0,1391,1584,4953,1111,71,75,71,80,70,69,44,60,75,0,46,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,96
30991,3211,426,100,28,9999,0,0,0,4378,0,3,3,1382,441,1353,0,0,72,72,30,0,0,0,0,0,1391,1584,4953,1111,71,75,71,80,70,69,44,60,75,0,46,0,0,11108,515,0,362,47,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,96
