Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
21995,3194,375,100,29,9999,0,90,0,4368,393,3,3,1382,490,1353,0,0,72,72,34,0,0,0,0,0,1391,1584,8838,1266,128,39,56,69,55,44,23,25,39,14,74,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,96
22991,3194,375,100,29,9999,0,61,0,4368,266,3,3,1382,490,1555,0,0,72,72,35,0,0,0,0,0,1391,1584,7627,1262,121,28,63,60,66,54,15,16,28,10,67,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,96
23992,3194,375,100,29,9999,0,29,0,4368,126,3,3,1382,490,1555,0,0,72,72,35,0,0,0,0,0,1391,1584,6252,1257,128,28,60,72,55,47,19,19,28,5,57,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,96
24991,3194,375,100,29,9999,0,43,0,4368,187,3,3,1382,490,1555,0,0,72,72,33,0,0,0,0,0,1391,1584,5466,1258,130,34,52,58,69,42,0,31,34,5,51,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,96
25992,3194,375,100,29,9999,0,51,0,4368,222,3,3,1382,490,1555,0,0,72,72,31,0,0,0,0,0,1391,1584,5463,1246,129,31,65,55,65,52,10,19,31,14,52,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,96
26991,3194,375,100,29,9999,0,32,0,4367,139,3,3,1382,490,1555,0,0,72,72,30,0,0,0,0,0,1391,1584,5974,1271,128,28,52,60,66,63,22,28,25,5,55,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,96
27993,3194,375,100,29,9999,0,39,0,4368,170,3,3,1382,490,1555,0,0,72,72,31,0,0,0,0,0,1391,1584,5801,1243,130,25,44,60,68,60,14,25,16,9,53,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,96
28994,3194,375,100,29,9999,0,46,0,4368,200,3,3,1382,490,1555,0,0,72,72,31,0,0,0,0,0,1391,1584,5983,1260,131,23,60,63,64,59,19,23,11,5,55,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,96
29992,3194,375,100,29,9999,0,29,0,4368,126,3,3,1382,490,1555,0,0,72,72,31,0,0,0,0,0,1391,1584,5677,1256,130,28,65,58,63,56,14,25,28,10,53,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,96
30992,3194,375,100,29,9999,0,41,0,4368,179,3,3,1382,490,1555,0,0,72,72,31,0,0,0,0,0,1391,1584,5752,1236,129,36,52,47,61,44,18,23,36,14,53,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,96
