Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
40003,2958,313,94,19,9999,0,1169,0,4043,4726,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6229,983,0,14,26,45,25,35,14,10,14,27,53,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
40993,2958,313,94,19,9999,0,1184,0,4043,4786,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1391,1584,6626,984,0,25,44,48,40,52,5,17,25,18,56,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
41993,2958,313,94,19,9999,0,1197,0,4043,4839,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,6555,1242,285,19,50,38,39,47,19,9,10,23,57,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,96
42994,2958,313,94,19,9999,0,1121,0,4039,4527,3,3,1478,490,2000,1,0,72,72,32,0,0,0,0,0,1391,1584,5430,1038,96,14,47,42,43,45,14,9,14,18,53,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96
43993,2958,313,94,19,9999,0,1194,0,4039,4822,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1391,1584,6076,1189,281,14,57,55,38,36,5,14,14,14,53,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,96
44994,2958,313,94,19,9999,0,1142,0,4039,4612,3,3,1478,490,2000,1,0,72,72,31,0,0,0,0,0,1391,1584,5750,964,0,19,64,73,80,57,0,19,14,27,50,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
45994,2958,313,94,19,9999,0,1183,0,4039,4778,3,3,1382,490,1353,1,0,72,72,31,0,0,0,0,0,1391,1584,6622,1280,300,22,44,42,44,58,14,18,22,5,57,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,96
46994,2958,313,94,19,9999,0,1156,0,4039,4669,3,3,1382,490,1353,1,0,72,72,32,0,0,0,0,0,1391,1584,5974,1430,290,22,47,55,58,54,22,9,19,0,57,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,96
47994,2958,313,94,19,9999,0,1144,0,4039,4620,3,3,1382,490,1353,1,0,72,72,32,0,0,0,0,0,1391,1584,5995,1383,289,22,50,36,35,56,13,14,22,13,57,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,96
48994,2958,313,94,19,9999,0,1134,0,4039,4580,3,3,1382,490,1353,1,0,72,72,32,0,0,0,0,0,1391,1584,6416,1383,282,14,54,45,45,45,9,14,10,14,59,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,96
49994,2958,313,94,19,9999,0,1122,0,4035,4527,3,3,1382,490,1353,1,0,72,72,32,0,0,0,0,0,1391,1584,6123,1381,278,22,59,52,47,54,13,10,22,10,58,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,96
50994,2958,313,94,20,9999,0,1148,0,4035,4632,3,3,1382,490,1353,1,0,72,72,32,0,0,0,0,0,1391,1584,6285,1391,287,18,56,55,54,47,13,18,14,10,59,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,96
51994,2958,313,94,20,9999,0,1148,0,4035,4632,3,3,1382,490,1353,1,0,72,72,32,0,0,0,0,0,1391,1584,5949,1441,284,22,42,44,41,54,18,14,22,10,56,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,96
52994,2958,313,94,20,9999,0,1174,0,4028,4728,3,3,1382,490,1555,1,0,72,72,32,0,0,0,0,0,1391,1584,6132,1403,280,22,50,50,52,57,21,22,14,10,57,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,96
53994,2958,313,94,20,9999,0,1169,0,4028,4708,3,3,1382,490,1555,1,0,72,72,32,0,0,0,0,0,1391,1584,5893,1425,284,19,52,57,56,52,19,13,14,13,57,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,96
54995,2958,313,94,20,9999,0,1339,0,4028,5393,3,3,1382,490,1555,1,0,72,72,32,0,0,0,0,0,1391,1584,6094,1423,293,21,52,57,52,56,21,18,11,9,58,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,96
55994,2958,313,94,20,9999,0,1180,0,4028,4753,3,3,1382,490,1555,1,0,72,72,31,0,0,0,0,0,1391,1584,6201,1408,291,14,52,42,52,52,10,14,13,0,59,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,96
56994,2958,313,94,20,9999,0,1249,0,4028,5030,3,3,1382,490,1555,1,0,72,72,32,0,0,0,0,0,1391,1584,6375,1422,298,14,57,39,42,50,5,10,14,5,58,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,96
57994,2958,313,94,20,9999,0,1216,0,4028,4898,3,3,1382,490,1555,1,0,72,72,31,0,0,0,0,0,1391,1584,5560,1393,294,14,55,52,50,47,14,10,14,18,54,0,0,11817,428,0,250,48,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,96
